id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
57,"Tabi Homestay Hue",hotel_4460872,Huế,https://is.gd/6ken2H,6231,0,9.4,8,"Phòng Giường Đôi","107.598223677246,16.4699746535964",https://is.gd/iIkyQd,245000
58,"Florence Villa Hue",hotel_6513080,Huế,https://is.gd/aOsU5B,6231,0,0,0,"Biệt Thự","107.5955734,16.4722674",https://is.gd/oX9Dui,6000000
59,"Robin House",hotel_6730317,Huế,https://is.gd/joLzoO,6231,0,10,8,"Phòng Deluxe Giường Đôi","107.597947496402,16.4739959479829",https://is.gd/lzyhBx,288600
60,"Carnosa Hotel Hue",hotel_2627464,Huế,https://is.gd/d6B2lo,6231,3,8,306,"Phòng Giường Đôi","107.595698841768,16.4722438881108",https://is.gd/F9tWAl,343200
61,"Jade Hotel",hotel_1356663,Huế,https://is.gd/2GULK3,6231,2,9,1443,"Phòng Tiêu Chuẩn Giường Đôi","107.593716688955,16.4646106278295",https://is.gd/L7VCPx,373500
62,"Soleil House",hotel_3545543,Huế,https://is.gd/xYyKnC,6231,0,8.8,212,"Phòng Giường Đôi Hạng Bình Dân","107.592138,16.458118",https://is.gd/P6YFhj,360000
63,"SOLEIL BOUTIQUE",hotel_6839329,"Thôn Kim Long (1)",https://is.gd/Rr7uvF,6231,0,0,0,"Phòng Giường Đôi Hạng Tiết kiệm","107.583306,16.4675764",https://is.gd/aAgKru,350000
64,"SOLEIL HOSTEL",hotel_4171959,Huế,https://is.gd/nMGvcH,6231,0,8.9,349,"Phòng Giường Đôi với Phòng tắm Riêng Bên ngoài","107.60725,16.463405",https://is.gd/7UYhmM,350000
65,"White Lotus Hue Hotel",hotel_6341340,Huế,https://is.gd/bGNMU9,6231,4,9.7,17,"Phòng Superior có giường cỡ Queen","107.590719,16.465288",https://is.gd/dv8wrY,1269000
66,"Lang Co Beach Resort",hotel_772612,"Lăng Cô",https://is.gd/jcmtgH,6231,3,7.5,165,"Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Vườn","108.076120018959,16.2463611950756",https://is.gd/f0v85w,887034
67,"Serene Shining Hotel & Spa",hotel_236233,Huế,https://is.gd/Szfcrx,6231,3,9.2,979,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","107.59786337614,16.471167165649",https://is.gd/bzjSdc,412500
68,"Purple Hue BnB",hotel_3773069,Huế,https://is.gd/SchVrx,6231,0,9.4,416,"Phòng Giường Đôi Hạng Bình Dân","107.589756048935,16.4606666500773",https://is.gd/1tWELm,350000
69,"la Luz de la Luna",hotel_4801750,Huế,https://is.gd/hx2VD9,6231,3,9.4,33,"Ngôi Nhà 2 Phòng Ngủ","107.597427439951,16.470584081801",https://is.gd/aKGjNY,1298765
70,"THE MANOR CROWN HUE",hotel_6905076,"Thôn Trường Giang",https://is.gd/dmh2k9,6231,0,0,0,"Căn Hộ 2 Phòng Ngủ","107.608138120308,16.46315984867",https://is.gd/RmLCvC,540000
